ProcessNum, Sample, Priority, Elapsed_Time_Microseconds
0, 1, 0, 466667
0, 2, 0, 466667
0, 3, 0, 500000
0, 4, 0, 466666
0, 5, 0, 466667
0, 6, 0, 483333
0, 7, 0, 466667
0, 8, 0, 483333
0, 9, 0, 450000
0, 10, 0, 483334
0, 11, 0, 466666
0, 12, 0, 466667
0, 13, 0, 466667
0, 14, 0, 466666
0, 15, 0, 483334
0, 16, 0, 466666
0, 17, 0, 450000
0, 18, 0, 483334
0, 19, 0, 466666
0, 20, 0, 483334
0, 21, 0, 483333
0, 22, 0, 450000
0, 23, 0, 483333
0, 24, 0, 466667
0, 25, 0, 466667
0, 26, 0, 466666
0, 27, 0, 483334
0, 28, 0, 483333
0, 29, 0, 466667
0, 30, 0, 466666
1, 1, 0, 466667
1, 2, 0, 466667
1, 3, 0, 500000
1, 4, 0, 466666
1, 5, 0, 466667
1, 6, 0, 483333
1, 7, 0, 466667
1, 8, 0, 483333
1, 9, 0, 450000
1, 10, 0, 483334
1, 11, 0, 466666
1, 12, 0, 466667
1, 13, 0, 466667
1, 14, 0, 466666
1, 15, 0, 483334
1, 16, 0, 466666
1, 17, 0, 450000
1, 18, 0, 483334
1, 19, 0, 466666
1, 20, 0, 483334
1, 21, 0, 483333
1, 22, 0, 450000
1, 23, 0, 483333
1, 24, 0, 466667
1, 25, 0, 466667
1, 26, 0, 466666
1, 27, 0, 483334
1, 28, 0, 483333
1, 29, 0, 466667
1, 30, 0, 466666
2, 1, 0, 466667
2, 2, 0, 466667
2, 3, 0, 500000
2, 4, 0, 466666
2, 5, 0, 466667
2, 6, 0, 483333
2, 7, 0, 466667
2, 8, 0, 483333
2, 9, 0, 450000
2, 10, 0, 483334
2, 11, 0, 466666
2, 12, 0, 466667
2, 13, 0, 466667
2, 14, 0, 466666
2, 15, 0, 483334
2, 16, 0, 466666
2, 17, 0, 450000
2, 18, 0, 483334
2, 19, 0, 466666
2, 20, 0, 483334
2, 21, 0, 483333
2, 22, 0, 450000
2, 23, 0, 483333
2, 24, 0, 466667
2, 25, 0, 466667
2, 26, 0, 466666
2, 27, 0, 483334
2, 28, 0, 483333
2, 29, 0, 466667
2, 30, 0, 466666
0, 1, -10, 333334
0, 2, -10, 300000
0, 3, -10, 316667
0, 4, -10, 316666
0, 5, -10, 316667
0, 6, -10, 316666
0, 7, -10, 316667
0, 8, -10, 316666
